Latitude,Longitude,Elevation
42.68818000,18.04993000,6.0
42.68817000,18.04986000,4.0
42.68811000,18.04968000,1.0
42.68809000,18.04974000,1.0
42.68810000,18.04988000,4.0
42.68812000,18.04986000,4.0
42.68795000,18.04991000,5.0
42.68799000,18.04988000,4.0
42.68801000,18.05000000,6.0
42.68802000,18.04992000,5.0
42.68806000,18.04985000,3.0
42.68789000,18.05007000,7.0
42.68784000,18.04997000,6.0
42.68783000,18.04996000,6.0
42.68782000,18.04984000,3.0
42.68781000,18.04983000,3.0
42.68781000,18.04971000,1.0
42.68781000,18.04968000,1.0
42.68780000,18.04960000,1.0
42.68779000,18.04953000,1.0
42.68773000,18.04945000,1.0
42.68772000,18.04945000,1.0
42.68771000,18.04934000,1.0
42.68771000,18.04933000,1.0
42.68768000,18.04944000,1.0
42.68768000,18.04945000,1.0
42.68761000,18.04946000,1.0
42.68759000,18.04947000,1.0
42.68751000,18.04950000,1.0
42.68749000,18.04951000,1.0
42.68742000,18.04957000,4.0
42.68741000,18.04958000,4.0
42.68741000,18.04959000,4.0
42.68755000,18.04955000,1.0
42.68758000,18.04966000,2.0
42.68758000,18.04968000,2.0
42.68758000,18.04980000,4.0
42.68758000,18.04981000,4.0
42.68755000,18.04992000,7.0
42.68755000,18.04994000,7.0
42.68752000,18.05004000,9.0
42.68751000,18.05005000,9.0
42.68750000,18.05016000,11.0
42.68749000,18.05018000,12.0
42.68747000,18.05029000,15.0
42.68747000,18.05032000,15.0
42.68748000,18.05042000,17.0
42.68747000,18.05045000,18.0
42.68747000,18.05055000,19.0
42.68747000,18.05057000,19.0
42.68746000,18.05068000,21.0
42.68747000,18.05070000,21.0
42.68746000,18.05082000,23.0
42.68747000,18.05084000,23.0
42.68746000,18.05095000,24.0
42.68745000,18.05097000,25.0
42.68741000,18.05108000,27.0
42.68741000,18.05109000,27.0
42.68742000,18.05120000,28.0
42.68742000,18.05122000,28.0
42.68743000,18.05129000,29.0
42.68744000,18.05134000,29.0
42.68747000,18.05143000,29.0
42.68747000,18.05146000,29.0
42.68751000,18.05154000,28.0
42.68753000,18.05156000,28.0
42.68758000,18.05165000,29.0
42.68758000,18.05167000,29.0
42.68761000,18.05178000,30.0
42.68762000,18.05180000,30.0
42.68764000,18.05190000,30.0
42.68764000,18.05192000,30.0
42.68767000,18.05204000,30.0
42.68767000,18.05206000,30.0
42.68770000,18.05216000,30.0
42.68771000,18.05217000,30.0
42.68776000,18.05225000,29.0
42.68777000,18.05227000,28.0
42.68780000,18.05238000,29.0
42.68781000,18.05240000,29.0
42.68783000,18.05251000,31.0
42.68783000,18.05252000,31.0
42.68787000,18.05263000,33.0
42.68787000,18.05265000,34.0
42.68788000,18.05277000,36.0
42.68788000,18.05278000,37.0
42.68785000,18.05289000,39.0
42.68785000,18.05291000,39.0
42.68789000,18.05301000,42.0
42.68789000,18.05302000,42.0
42.68788000,18.05313000,43.0
42.68788000,18.05314000,43.0
42.68794000,18.05322000,44.0
42.68794000,18.05324000,45.0
42.68792000,18.05334000,45.0
42.68792000,18.05336000,45.0
42.68789000,18.05346000,45.0
42.68788000,18.05350000,45.0
42.68786000,18.05357000,45.0
42.68783000,18.05360000,45.0
42.68777000,18.05369000,45.0
42.68776000,18.05371000,45.0
42.68771000,18.05381000,46.0
42.68770000,18.05382000,46.0
42.68767000,18.05388000,47.0
42.68765000,18.05391000,47.0
42.68761000,18.05381000,46.0
42.68762000,18.05379000,46.0
42.68767000,18.05368000,45.0
42.68768000,18.05367000,45.0
42.68768000,18.05356000,44.0
42.68768000,18.05354000,44.0
42.68769000,18.05343000,45.0
42.68769000,18.05341000,45.0
42.68769000,18.05330000,45.0
42.68769000,18.05328000,45.0
42.68769000,18.05317000,44.0
42.68769000,18.05314000,44.0
42.68768000,18.05310000,44.0
42.68759000,18.05319000,46.0
42.68756000,18.05321000,47.0
42.68756000,18.05324000,47.0
42.68762000,18.05329000,46.0
42.68766000,18.05331000,45.0
42.68775000,18.05334000,44.0
42.68779000,18.05334000,44.0
42.68785000,18.05334000,44.0
42.68790000,18.05334000,45.0
42.68795000,18.05332000,45.0
42.68799000,18.05329000,45.0
42.68804000,18.05325000,45.0
42.68806000,18.05321000,45.0
42.68813000,18.05317000,48.0
42.68820000,18.05312000,51.0
42.68827000,18.05306000,54.0
42.68836000,18.05299000,57.0
42.68843000,18.05291000,60.0
42.68849000,18.05281000,60.0
42.68848000,18.05271000,57.0
42.68850000,18.05261000,56.0
42.68851000,18.05249000,53.0
42.68849000,18.05237000,52.0
42.68848000,18.05227000,51.0
42.68846000,18.05217000,49.0
42.68843000,18.05207000,48.0
42.68839000,18.05198000,46.0
42.68836000,18.05188000,44.0
42.68833000,18.05179000,42.0
42.68831000,18.05169000,42.0
42.68828000,18.05158000,40.0
42.68830000,18.05145000,41.0
42.68831000,18.05132000,40.0
42.68831000,18.05121000,38.0
42.68834000,18.05109000,37.0
42.68836000,18.05097000,35.0
42.68841000,18.05086000,35.0
42.68845000,18.05075000,33.0
42.68849000,18.05065000,31.0
42.68856000,18.05057000,30.0
42.68862000,18.05048000,29.0
42.68867000,18.05039000,28.0
42.68871000,18.05029000,25.0
42.68877000,18.05019000,23.0
42.68884000,18.05008000,20.0
42.68891000,18.04999000,17.0
42.68900000,18.04991000,15.0
42.68907000,18.04983000,10.0
42.68914000,18.04975000,3.0
42.68921000,18.04968000,5.0
42.68929000,18.04961000,9.0
42.68938000,18.04955000,10.0
42.68945000,18.04950000,8.0
42.68952000,18.04943000,11.0
42.68960000,18.04934000,19.0
42.68967000,18.04924000,24.0
42.68974000,18.04906000,22.0
42.68981000,18.04896000,19.0
42.68989000,18.04888000,18.0
42.68997000,18.04882000,17.0
42.69005000,18.04874000,16.0
42.69012000,18.04866000,15.0
42.69019000,18.04856000,15.0
42.69026000,18.04846000,15.0
42.69032000,18.04836000,16.0
42.69038000,18.04825000,16.0
42.69043000,18.04814000,15.0
42.69048000,18.04804000,15.0
42.69054000,18.04794000,14.0
42.69060000,18.04782000,12.0
42.69065000,18.04772000,11.0
42.69071000,18.04761000,10.0
42.69078000,18.04752000,9.0
42.69085000,18.04745000,9.0
42.69093000,18.04738000,9.0
42.69101000,18.04732000,9.0
42.69111000,18.04728000,9.0
42.69120000,18.04725000,9.0
42.69129000,18.04722000,9.0
42.69138000,18.04720000,9.0
42.69146000,18.04719000,9.0
42.69155000,18.04719000,10.0
42.69164000,18.04720000,10.0
42.69173000,18.04721000,9.0
42.69183000,18.04721000,5.0
42.69192000,18.04721000,1.0
42.69201000,18.04719000,3.0
42.69210000,18.04717000,5.0
42.69216000,18.04715000,6.0
42.69225000,18.04713000,7.0
42.69233000,18.04712000,8.0
42.69241000,18.04711000,8.0
42.69249000,18.04710000,8.0
42.69259000,18.04710000,8.0
42.69268000,18.04710000,8.0
42.69276000,18.04709000,8.0
42.69285000,18.04707000,9.0
42.69293000,18.04705000,9.0
42.69301000,18.04700000,8.0
42.69308000,18.04695000,8.0
42.69315000,18.04690000,9.0
42.69322000,18.04684000,10.0
42.69329000,18.04679000,11.0
42.69336000,18.04673000,11.0
42.69343000,18.04666000,13.0
42.69350000,18.04660000,14.0
42.69355000,18.04652000,14.0
42.69358000,18.04644000,13.0
42.69361000,18.04636000,12.0
42.69364000,18.04627000,11.0
42.69366000,18.04620000,10.0
42.69367000,18.04612000,9.0
42.69370000,18.04603000,8.0
42.69374000,18.04594000,8.0
42.69377000,18.04586000,8.0
42.69381000,18.04578000,6.0
42.69387000,18.04571000,5.0
42.69391000,18.04564000,4.0
42.69396000,18.04558000,3.0
42.69401000,18.04553000,4.0
42.69407000,18.04549000,4.0
42.69412000,18.04544000,4.0
42.69417000,18.04540000,4.0
42.69421000,18.04537000,4.0
42.69426000,18.04534000,3.0
42.69432000,18.04531000,2.0
42.69437000,18.04529000,1.0
42.69443000,18.04526000,1.0
42.69449000,18.04524000,3.0
42.69455000,18.04523000,6.0
42.69460000,18.04522000,8.0
42.69466000,18.04521000,10.0
42.69472000,18.04520000,12.0
42.69477000,18.04520000,10.0
42.69484000,18.04520000,7.0
42.69489000,18.04520000,5.0
42.69494000,18.04520000,3.0
42.69500000,18.04521000,1.0
42.69506000,18.04523000,1.0
42.69511000,18.04526000,1.0
42.69516000,18.04529000,1.0
42.69522000,18.04532000,3.0
42.69527000,18.04536000,5.0
42.69533000,18.04540000,6.0
42.69538000,18.04543000,6.0
42.69543000,18.04547000,5.0
42.69548000,18.04550000,4.0
42.69553000,18.04555000,2.0
42.69558000,18.04559000,1.0
42.69562000,18.04565000,1.0
42.69566000,18.04571000,1.0
42.69571000,18.04577000,1.0
42.69575000,18.04583000,1.0
42.69579000,18.04588000,1.0
42.69584000,18.04592000,1.0
42.69588000,18.04597000,1.0
42.69592000,18.04602000,1.0
42.69597000,18.04607000,1.0
42.69602000,18.04612000,2.0
42.69606000,18.04616000,2.0
42.69611000,18.04620000,2.0
42.69616000,18.04623000,1.0
42.69622000,18.04625000,1.0
42.69628000,18.04628000,1.0
42.69633000,18.04630000,1.0
42.69639000,18.04632000,1.0
42.69645000,18.04633000,2.0
42.69650000,18.04634000,2.0
42.69655000,18.04634000,2.0
42.69660000,18.04634000,3.0
42.69665000,18.04634000,3.0
42.69670000,18.04633000,4.0
42.69676000,18.04632000,5.0
42.69681000,18.04631000,6.0
42.69686000,18.04630000,6.0
42.69691000,18.04628000,7.0
42.69695000,18.04626000,7.0
42.69701000,18.04624000,8.0
42.69705000,18.04622000,8.0
42.69710000,18.04620000,9.0
42.69715000,18.04618000,10.0
42.69721000,18.04617000,11.0
42.69726000,18.04615000,12.0
42.69730000,18.04612000,12.0
42.69735000,18.04610000,13.0
42.69739000,18.04608000,13.0
42.69746000,18.04604000,12.0
42.69751000,18.04603000,12.0
42.69759000,18.04601000,12.0
42.69764000,18.04601000,13.0
42.69768000,18.04600000,13.0
42.69774000,18.04601000,14.0
42.69779000,18.04602000,15.0
42.69785000,18.04604000,15.0
42.69791000,18.04607000,16.0
42.69796000,18.04609000,17.0
42.69804000,18.04609000,17.0
42.69808000,18.04611000,18.0
42.69816000,18.04615000,18.0
42.69820000,18.04616000,17.0
42.69828000,18.04620000,17.0
42.69832000,18.04621000,16.0
42.69840000,18.04626000,15.0
42.69844000,18.04628000,14.0
42.69849000,18.04630000,12.0
42.69853000,18.04633000,11.0
42.69860000,18.04638000,10.0
42.69864000,18.04641000,9.0
42.69868000,18.04644000,9.0
42.69872000,18.04647000,9.0
42.69881000,18.04650000,8.0
42.69885000,18.04652000,8.0
42.69891000,18.04655000,7.0
42.69894000,18.04656000,8.0
42.69900000,18.04657000,8.0
42.69903000,18.04658000,8.0
42.69911000,18.04661000,9.0
42.69914000,18.04662000,9.0
42.69922000,18.04664000,11.0
42.69924000,18.04664000,11.0
42.69933000,18.04665000,14.0
42.69934000,18.04664000,14.0
42.69940000,18.04661000,15.0
42.69943000,18.04660000,15.0
42.69949000,18.04658000,16.0
42.69953000,18.04656000,16.0
42.69958000,18.04655000,17.0
42.69964000,18.04652000,17.0
42.69969000,18.04650000,16.0
42.69975000,18.04648000,16.0
42.69981000,18.04648000,17.0
42.69987000,18.04647000,18.0
42.69992000,18.04645000,17.0
42.69997000,18.04643000,17.0
42.70002000,18.04642000,18.0
42.70007000,18.04641000,17.0
42.70012000,18.04640000,17.0
42.70018000,18.04639000,17.0
42.70023000,18.04636000,17.0
42.70028000,18.04634000,16.0
42.70033000,18.04632000,17.0
42.70038000,18.04630000,17.0
42.70043000,18.04628000,17.0
42.70048000,18.04626000,17.0
42.70053000,18.04619000,16.0
42.70058000,18.04616000,15.0
42.70063000,18.04614000,15.0
42.70068000,18.04612000,14.0
42.70072000,18.04610000,14.0
42.70077000,18.04609000,14.0
42.70082000,18.04607000,14.0
42.70087000,18.04606000,14.0
42.70095000,18.04604000,15.0
42.70099000,18.04604000,16.0
42.70108000,18.04602000,17.0
42.70111000,18.04600000,17.0
42.70116000,18.04599000,18.0
42.70121000,18.04598000,18.0
42.70126000,18.04597000,19.0
